Type,Identification,Field,Locale,Market,Status,Default content,Translated content
PRODUCT,'7683944742960,body_html,zh-CN,,,<p>Durable stainless steel fish chopper designed for heavy-duty kitchen use. Available in multiple sizes.</p>,<p>耐用不锈钢绞鱼器，专为重型厨房设计。多种尺寸可选。</p>
PRODUCT,'7683944742960,handle,vi,,,s-s-fish-chopper,
PRODUCT,'7683944742960,handle,zh-CN,,,s-s-fish-chopper,
PRODUCT,'7683944742960,product_type,vi,,,Other,Khác
PRODUCT,'7683944742960,product_type,zh-CN,,,Other,其他
PRODUCT,'7683944972336,title,vi,,,S/S Kow Kong Knife,Dao S/S Kow Kong
PRODUCT,'7683944972336,title,zh-CN,,,S/S Kow Kong Knife,不锈钢九孔刀
PRODUCT,'7683944972336,body_html,vi,,,"<p>Durable Kow Kong Knife, available in various sizes and materials for versatile cutting needs.</p>","<p> Dao Kow Kong bền bỉ, có nhiều kích cỡ và chất liệu khác nhau để đáp ứng nhu cầu cắt đa dạng.</p>"
PRODUCT,'7683944972336,body_html,zh-CN,,,"<p>Durable Kow Kong Knife, available in various sizes and materials for versatile cutting needs.</p>",<p>耐用的九孔刀，有多种尺寸和材质可供选择，满足多种切割需求。</p>
PRODUCT,'7683944972336,handle,vi,,,kow-kong-knife,
PRODUCT,'7683944972336,handle,zh-CN,,,kow-kong-knife,
PRODUCT,'7683944972336,product_type,vi,,,Other,Khác
PRODUCT,'7683944972336,product_type,zh-CN,,,Other,其他
PRODUCT,'7683946086448,title,vi,,,Bone Knife (Wooden Handle),Dao xương (Cán gỗ)
PRODUCT,'7683946086448,title,zh-CN,,,Bone Knife (Wooden Handle),骨刀（木柄）
PRODUCT,'7683946086448,body_html,vi,,,<p>Traditional iron bone knife with wooden handle. Ideal for butchering tasks.</p>,<p> Dao xương sắt truyền thống có cán gỗ. Lý tưởng cho công việc giết mổ.</p>
PRODUCT,'7683946086448,body_html,zh-CN,,,<p>Traditional iron bone knife with wooden handle. Ideal for butchering tasks.</p>,<p>传统铁骨刀，木柄，非常适合屠宰。</p>
PRODUCT,'7683946086448,handle,vi,,,bone-knife,
PRODUCT,'7683946086448,handle,zh-CN,,,bone-knife,
PRODUCT,'7683946086448,product_type,vi,,,Other,Khác
PRODUCT,'7683946086448,product_type,zh-CN,,,Other,其他
PRODUCT,'7683948249136,title,vi,,,BBQ Knife,Dao nướng BBQ
PRODUCT,'7683948249136,title,zh-CN,,,BBQ Knife,烧烤刀
PRODUCT,'7683948249136,body_html,vi,,,"<p>Traditional BBQ knife with wooden handle, perfect for Chinese-style roasted meats.</p>","<p> Dao nướng BBQ truyền thống có cán bằng gỗ, hoàn hảo cho các món thịt nướng kiểu Trung Quốc.</p>"
PRODUCT,'7683948249136,body_html,zh-CN,,,"<p>Traditional BBQ knife with wooden handle, perfect for Chinese-style roasted meats.</p>",<p>传统的木柄烧烤刀，非常适合中式烤肉。</p>
PRODUCT,'7683948249136,handle,vi,,,bbq-knife,
PRODUCT,'7683948249136,handle,zh-CN,,,bbq-knife,
PRODUCT,'7683948249136,product_type,vi,,,Other,Khác
PRODUCT,'7683948249136,product_type,zh-CN,,,Other,其他
PRODUCT,'7683949396016,title,vi,,,羅紋碗喇叭碗(日式色釉) Soup Bowl,羅紋碗喇叭碗(日式色釉) Bát súp
PRODUCT,'7683949396016,title,zh-CN,,,羅紋碗喇叭碗(日式色釉) Soup Bowl,罗碗纹喇叭碗(日式色釉) 汤碗
PRODUCT,'7683949396016,body_html,vi,,,<p>Japanese style glazed soup bowl with ribbed design.</p>,<p> Bát đựng súp tráng men kiểu Nhật Bản có thiết kế gân.</p>
PRODUCT,'7683949396016,body_html,zh-CN,,,<p>Japanese style glazed soup bowl with ribbed design.</p>,<p>日式釉面汤碗，带有棱纹设计。</p>
PRODUCT,'7683949396016,handle,vi,,,soup-bowl-japanese,
PRODUCT,'7683949396016,handle,zh-CN,,,soup-bowl-japanese,
PRODUCT,'7683949396016,product_type,vi,,,Tableware,Đồ dùng trên bàn ăn
PRODUCT,'7683949396016,product_type,zh-CN,,,Tableware,餐具
PRODUCT,'7683950444592,title,vi,,,面碗(蓝勾藤) Soup Bowl,面碗(蓝勾藤) Bát súp
PRODUCT,'7683950444592,title,zh-CN,,,面碗(蓝勾藤) Soup Bowl,面碗(蓝勾藤) 汤碗
PRODUCT,'7683950444592,body_html,vi,,,<p>Classic Chinese-style soup bowl with blue vine pattern.</p>,<p> Bát đựng canh kiểu Trung Hoa cổ điển có họa tiết dây leo màu xanh.</p>
PRODUCT,'7683950444592,body_html,zh-CN,,,<p>Classic Chinese-style soup bowl with blue vine pattern.</p>,<p>经典中式汤碗，带有蓝色藤蔓图案。</p>
PRODUCT,'7683950444592,handle,vi,,,soup-bowl-bluevine,
PRODUCT,'7683950444592,handle,zh-CN,,,soup-bowl-bluevine,
PRODUCT,'7683950444592,product_type,vi,,,Tableware,Đồ dùng trên bàn ăn
PRODUCT,'7683950444592,product_type,zh-CN,,,Tableware,餐具
PRODUCT,'7683951624240,title,vi,,,Durable Classic White Oval Plate,Đĩa hình bầu dục màu trắng cổ điển bền bỉ
PRODUCT,'7683951624240,title,zh-CN,,,Durable Classic White Oval Plate,耐用经典白色陶瓷椭圆盘/鱼盘
PRODUCT,'7683951624240,body_html,vi,,,"<p data-start=""126"" data-end=""405"">Perfect for both everyday dining and special occasions, this <strong data-start=""187"" data-end=""201"">Oval Plate</strong> offers a stylish and practical solution for presenting main dishes, roasts, appetizers, or shared platters. Its gently curved edges and spacious surface provide an elegant backdrop for food presentation.</p>
<p data-start=""407"" data-end=""420""><strong data-start=""407"" data-end=""420"">Features:</strong></p>
<ul data-start=""422"" data-end=""785"">
<li data-start=""422"" data-end=""492"">
<p data-start=""424"" data-end=""492""><strong data-start=""424"" data-end=""436"">Material</strong>: Durable Ceramic – chip-resistant and easy to clean</p>
</li>
<li data-start=""493"" data-end=""572"">
<p data-start=""495"" data-end=""572""><strong data-start=""495"" data-end=""504"">Shape</strong>: Elongated oval with a wide rim, ideal for maximizing table space</p>
</li>
<li data-start=""573"" data-end=""652"">
<p data-start=""575"" data-end=""652""><strong data-start=""575"" data-end=""584"">Color</strong>: Glossy white finish to highlight food colors and plating details</p>
</li>
<li data-start=""653"" data-end=""740"">
<p data-start=""655"" data-end=""740""><strong data-start=""655"" data-end=""662"">Use</strong>: Great for family-style servings, fish, grilled meats, or vegetable medleys</p>
</li>
<li data-start=""741"" data-end=""785"">
<p data-start=""743"" data-end=""785""><strong data-start=""743"" data-end=""783"">Microwave, dishwasher, and oven safe</strong></p>
</li>
</ul>
<p data-start=""787"" data-end=""920"" data-is-last-node="""" data-is-only-node="""">This timeless oval platter adds a refined touch to restaurant service or home dining, combining elegance with everyday utility.</p>","<p data-start=""126"" data-end=""405"">Hoàn hảo cho cả bữa ăn hàng ngày và những dịp đặc biệt, <strong data-start=""187"" data-end=""201"">Đĩa Oval</strong> này mang đến giải pháp thiết thực và thời trang để trình bày các món chính, món quay, món khai vị hoặc đĩa dùng chung. Các cạnh cong nhẹ nhàng và bề mặt rộng rãi của nó tạo nên một phông nền trang nhã cho việc trình bày món ăn.</p>

<p data-start=""407"" data-end=""420""> <strong data-start=""407"" data-end=""420"">Đặc trưng:</strong> </p>

<ul data-start=""422"" data-end=""785"">

<li data-start=""422"" data-end=""492"">

<p data-start=""424"" data-end=""492""> <strong data-start=""424"" data-end=""436"">Chất liệu</strong> : Gốm bền – chống sứt mẻ và dễ vệ sinh </p>


</li>

<li data-start=""493"" data-end=""572"">

<p data-start=""495"" data-end=""572""> <strong data-start=""495"" data-end=""504"">Hình dạng</strong> : Hình bầu dục dài với vành rộng, lý tưởng để tối đa hóa không gian bàn </p>


</li>

<li data-start=""573"" data-end=""652"">

<p data-start=""575"" data-end=""652""> <strong data-start=""575"" data-end=""584"">Màu sắc</strong> : Lớp hoàn thiện màu trắng bóng làm nổi bật màu sắc thực phẩm và các chi tiết mạ </p>


</li>

<li data-start=""653"" data-end=""740"">

<p data-start=""655"" data-end=""740""> <strong data-start=""655"" data-end=""662"">Công dụng</strong> : Thích hợp cho các món ăn gia đình, cá, thịt nướng hoặc rau trộn </p>


</li>

<li data-start=""741"" data-end=""785"">

<p data-start=""743"" data-end=""785""> <strong data-start=""743"" data-end=""783"">An toàn với lò vi sóng, máy rửa chén và lò nướng</strong></p>


</li>


</ul>

 <p data-start=""787"" data-end=""920"" data-is-last-node="""" data-is-only-node="""">Đĩa đựng hình bầu dục vượt thời gian này mang đến nét tinh tế cho dịch vụ nhà hàng hoặc bữa ăn tại nhà, kết hợp sự thanh lịch với tiện ích hàng ngày.</p>"
PRODUCT,'7683951624240,body_html,zh-CN,,,"<p data-start=""126"" data-end=""405"">Perfect for both everyday dining and special occasions, this <strong data-start=""187"" data-end=""201"">Oval Plate</strong> offers a stylish and practical solution for presenting main dishes, roasts, appetizers, or shared platters. Its gently curved edges and spacious surface provide an elegant backdrop for food presentation.</p>
<p data-start=""407"" data-end=""420""><strong data-start=""407"" data-end=""420"">Features:</strong></p>
<ul data-start=""422"" data-end=""785"">
<li data-start=""422"" data-end=""492"">
<p data-start=""424"" data-end=""492""><strong data-start=""424"" data-end=""436"">Material</strong>: Durable Ceramic – chip-resistant and easy to clean</p>
</li>
<li data-start=""493"" data-end=""572"">
<p data-start=""495"" data-end=""572""><strong data-start=""495"" data-end=""504"">Shape</strong>: Elongated oval with a wide rim, ideal for maximizing table space</p>
</li>
<li data-start=""573"" data-end=""652"">
<p data-start=""575"" data-end=""652""><strong data-start=""575"" data-end=""584"">Color</strong>: Glossy white finish to highlight food colors and plating details</p>
</li>
<li data-start=""653"" data-end=""740"">
<p data-start=""655"" data-end=""740""><strong data-start=""655"" data-end=""662"">Use</strong>: Great for family-style servings, fish, grilled meats, or vegetable medleys</p>
</li>
<li data-start=""741"" data-end=""785"">
<p data-start=""743"" data-end=""785""><strong data-start=""743"" data-end=""783"">Microwave, dishwasher, and oven safe</strong></p>
</li>
</ul>
<p data-start=""787"" data-end=""920"" data-is-last-node="""" data-is-only-node="""">This timeless oval platter adds a refined touch to restaurant service or home dining, combining elegance with everyday utility.</p>","<p data-start=""126"" data-end=""405"">这款<strong data-start=""187"" data-end=""201"">椭圆形餐盘</strong>时尚实用，是日常用餐和特殊场合的理想之选，可盛放主菜、烤肉、开胃菜或共享拼盘。其柔和的弧形边缘和宽敞的表面，为美食呈现优雅的背景。</p>
<p data-start=""407"" data-end=""420""><strong data-start=""407"" data-end=""420"">特征：</strong> </p>
<ul data-start=""422"" data-end=""785"">

<li data-start=""422"" data-end=""492"">

<p data-start=""424"" data-end=""492""><strong data-start=""424"" data-end=""436"">材质</strong>：耐用陶瓷——防碎且易于清洁</p>


</li>

<li data-start=""493"" data-end=""572"">

<p data-start=""495"" data-end=""572""><strong data-start=""495"" data-end=""504"">形状</strong>：细长的椭圆形，边缘较宽，非常适合最大化桌面空间</p>


</li>

<li data-start=""573"" data-end=""652"">

<p data-start=""575"" data-end=""652""><strong data-start=""575"" data-end=""584"">颜色</strong>：光泽的白色饰面，突出食物颜色和电镀细节</p>


</li>

<li data-start=""653"" data-end=""740"">

<p data-start=""655"" data-end=""740""><strong data-start=""655"" data-end=""662"">用途</strong>：非常适合家庭式菜肴、鱼类、烤肉或蔬菜拼盘</p>


</li>

<li data-start=""741"" data-end=""785"">

<p data-start=""743"" data-end=""785""><strong data-start=""743"" data-end=""783"">可放入微波炉、洗碗机和烤箱</strong></p>


</li>


</ul>
<p data-start=""787"" data-end=""920"" data-is-last-node="""" data-is-only-node="""">这款永恒的椭圆形盘子为餐厅服务或家庭用餐增添了精致的感觉，将优雅与日常实用性融为一体。</p>"
PRODUCT,'7683951624240,handle,vi,,,oval-plate-tempered,
PRODUCT,'7683951624240,handle,zh-CN,,,oval-plate-tempered,
PRODUCT,'7683951624240,product_type,vi,,,Tableware,Đồ dùng trên bàn ăn
PRODUCT,'7683951624240,product_type,zh-CN,,,Tableware,餐具
PRODUCT,'7684040261680,title,vi,,,Durable Classic White Round Plate – Ceramic Dining Ware,Đĩa tròn trắng cổ điển bền bỉ – Đồ ăn bằng gốm
PRODUCT,'7684040261680,title,zh-CN,,,Durable Classic White Round Plate – Ceramic Dining Ware,耐用经典白色陶瓷圆盘
PRODUCT,'7684040261680,body_html,vi,,,"<p data-end=""388"" data-start=""125"">This elegant <strong data-end=""153"" data-start=""138"">Round Plate</strong> is a timeless choice for serving appetizers, main courses, or desserts. Its smooth white glaze and gently sloped rim offer a clean, versatile look that complements any table setting, from casual home dining to fine restaurant service.</p>
<p data-end=""403"" data-start=""390""><strong data-end=""403"" data-start=""390"">Features:</strong></p>
<ul data-end=""831"" data-start=""405"">
<li data-end=""485"" data-start=""405"">
<p data-end=""485"" data-start=""407""><strong data-end=""419"" data-start=""407"">Material</strong>: High-fired Ceramic – durable, chip-resistant, and non-porous</p>
</li>
<li data-end=""562"" data-start=""486"">
<p data-end=""562"" data-start=""488""><strong data-end=""498"" data-start=""488"">Design</strong>: Wide flat surface with a subtle raised rim to prevent spills</p>
</li>
<li data-end=""636"" data-start=""563"">
<p data-end=""636"" data-start=""565""><strong data-end=""574"" data-start=""565"">Color</strong>: Crisp white finish for a clean presentation of any cuisine</p>
</li>
<li data-end=""681"" data-start=""637"">
<p data-end=""681"" data-start=""639""><strong data-end=""679"" data-start=""639"">Microwave, dishwasher, and oven safe</strong></p>
</li>
<li data-end=""757"" data-start=""682"">
<p data-end=""757"" data-start=""684""><strong data-end=""699"" data-start=""684"">Versatility</strong>: Ideal for entrees, pastas, plated desserts, or dim sum</p>
</li>
<li data-end=""831"" data-start=""758"">
<p data-end=""831"" data-start=""760""><strong data-end=""779"" data-start=""760"">Sizes available</strong>: Various diameters to fit different serving needs</p>
</li>
</ul>
<p data-is-only-node="""" data-is-last-node="""" data-end=""971"" data-start=""833"">Simple yet refined, this round plate adds sophistication to everyday meals and enhances the visual appeal of professionally plated dishes.</p>","<p data-end=""388"" data-start=""125""> <strong data-end=""153"" data-start=""138"">Đĩa Tròn</strong> thanh lịch này là lựa chọn vượt thời gian cho món khai vị, món chính hoặc món tráng miệng. Lớp men trắng mịn và viền vát nhẹ nhàng mang đến vẻ ngoài tinh tế, đa năng, phù hợp với mọi không gian bàn tiệc, từ bữa tối gia đình bình dị đến dịch vụ nhà hàng cao cấp.</p>

<p data-end=""403"" data-start=""390""> <strong data-end=""403"" data-start=""390"">Đặc trưng:</strong> </p>

<ul data-end=""831"" data-start=""405"">

<li data-end=""485"" data-start=""405"">

<p data-end=""485"" data-start=""407""> <strong data-end=""419"" data-start=""407"">Chất liệu</strong> : Gốm nung ở nhiệt độ cao – bền, chống sứt mẻ và không xốp </p>


</li>

<li data-end=""562"" data-start=""486"">

<p data-end=""562"" data-start=""488""> <strong data-end=""498"" data-start=""488"">Thiết kế</strong> : Bề mặt phẳng rộng với vành nhô lên tinh tế để tránh bị đổ </p>


</li>

<li data-end=""636"" data-start=""563"">

<p data-end=""636"" data-start=""565""> <strong data-end=""574"" data-start=""565"">Màu sắc</strong> : Lớp hoàn thiện màu trắng tinh khôi cho sự trình bày sạch sẽ của bất kỳ món ăn nào </p>


</li>

<li data-end=""681"" data-start=""637"">

<p data-end=""681"" data-start=""639""> <strong data-end=""679"" data-start=""639"">An toàn với lò vi sóng, máy rửa chén và lò nướng</strong></p>


</li>

<li data-end=""757"" data-start=""682"">

 <p data-end=""757"" data-start=""684""><strong data-end=""699"" data-start=""684"">Tính linh hoạt</strong> : Lý tưởng cho món khai vị, mì ống, món tráng miệng hoặc dim sum </p>


</li>

<li data-end=""831"" data-start=""758"">

<p data-end=""831"" data-start=""760""> <strong data-end=""779"" data-start=""760"">Kích thước có sẵn</strong> : Nhiều đường kính khác nhau để phù hợp với nhu cầu phục vụ khác nhau </p>


</li>


</ul>

<p data-is-only-node="""" data-is-last-node="""" data-end=""971"" data-start=""833"">Đơn giản nhưng tinh tế, chiếc đĩa tròn này mang đến sự tinh tế cho các bữa ăn hàng ngày và tăng thêm sức hấp dẫn về mặt thị giác cho các món ăn được bày biện chuyên nghiệp.</p>"
PRODUCT,'7684040261680,body_html,zh-CN,,,"<p data-end=""388"" data-start=""125"">This elegant <strong data-end=""153"" data-start=""138"">Round Plate</strong> is a timeless choice for serving appetizers, main courses, or desserts. Its smooth white glaze and gently sloped rim offer a clean, versatile look that complements any table setting, from casual home dining to fine restaurant service.</p>
<p data-end=""403"" data-start=""390""><strong data-end=""403"" data-start=""390"">Features:</strong></p>
<ul data-end=""831"" data-start=""405"">
<li data-end=""485"" data-start=""405"">
<p data-end=""485"" data-start=""407""><strong data-end=""419"" data-start=""407"">Material</strong>: High-fired Ceramic – durable, chip-resistant, and non-porous</p>
</li>
<li data-end=""562"" data-start=""486"">
<p data-end=""562"" data-start=""488""><strong data-end=""498"" data-start=""488"">Design</strong>: Wide flat surface with a subtle raised rim to prevent spills</p>
</li>
<li data-end=""636"" data-start=""563"">
<p data-end=""636"" data-start=""565""><strong data-end=""574"" data-start=""565"">Color</strong>: Crisp white finish for a clean presentation of any cuisine</p>
</li>
<li data-end=""681"" data-start=""637"">
<p data-end=""681"" data-start=""639""><strong data-end=""679"" data-start=""639"">Microwave, dishwasher, and oven safe</strong></p>
</li>
<li data-end=""757"" data-start=""682"">
<p data-end=""757"" data-start=""684""><strong data-end=""699"" data-start=""684"">Versatility</strong>: Ideal for entrees, pastas, plated desserts, or dim sum</p>
</li>
<li data-end=""831"" data-start=""758"">
<p data-end=""831"" data-start=""760""><strong data-end=""779"" data-start=""760"">Sizes available</strong>: Various diameters to fit different serving needs</p>
</li>
</ul>
<p data-is-only-node="""" data-is-last-node="""" data-end=""971"" data-start=""833"">Simple yet refined, this round plate adds sophistication to everyday meals and enhances the visual appeal of professionally plated dishes.</p>","<p data-end=""388"" data-start=""125"">这款优雅的<strong data-end=""153"" data-start=""138"">圆形餐盘</strong>是盛放开胃菜、主菜或甜点的经典之选。光滑的白色釉面和略微倾斜的边缘，营造出简洁百搭的外观，无论在休闲家居还是高级餐厅，都能与各种餐桌布置相得益彰。</p>

<p data-end=""403"" data-start=""390""><strong data-end=""403"" data-start=""390"">特征：</strong> </p>

<ul data-end=""831"" data-start=""405"">

<li data-end=""485"" data-start=""405"">

<p data-end=""485"" data-start=""407""><strong data-end=""419"" data-start=""407"">材质</strong>：高温烧制陶瓷——耐用、防碎、无孔</p>


</li>

<li data-end=""562"" data-start=""486"">

<p data-end=""562"" data-start=""488""><strong data-end=""498"" data-start=""488"">设计</strong>：宽阔的平面，带有微妙的凸起边缘，可防止溢出</p>


</li>

<li data-end=""636"" data-start=""563"">

<p data-end=""636"" data-start=""565""><strong data-end=""574"" data-start=""565"">颜色</strong>：清爽的白色表面，可干净地呈现任何菜肴</p>


</li>

<li data-end=""681"" data-start=""637"">

<p data-end=""681"" data-start=""639""><strong data-end=""679"" data-start=""639"">适用于微波炉、洗碗机和烤箱</strong></p>


</li>

<li data-end=""757"" data-start=""682"">

 <p data-end=""757"" data-start=""684""><strong data-end=""699"" data-start=""684"">用途广泛</strong>：适合主菜、意大利面、盘装甜点或点心</p>


</li>

<li data-end=""831"" data-start=""758"">

<p data-end=""831"" data-start=""760""><strong data-end=""779"" data-start=""760"">可选尺寸</strong>：各种直径，适合不同的服务需求</p>


</li>


</ul>

<p data-is-only-node="""" data-is-last-node="""" data-end=""971"" data-start=""833"">这款圆形盘子简约而精致，为日常用餐增添了精致感，增强了专业镀盘菜肴的视觉吸引力。</p>"
PRODUCT,'7684040261680,handle,vi,,,round-plate-tempered,
PRODUCT,'7684040261680,handle,zh-CN,,,round-plate-tempered,
PRODUCT,'7684040261680,product_type,vi,,,Tableware,Đồ dùng trên bàn ăn
PRODUCT,'7684040261680,product_type,zh-CN,,,Tableware,餐具
PRODUCT,'7684061331504,title,vi,,,圓口湯盤(強化瓷) Soup Plate,圓口湯盤(強化瓷) Đĩa súp
PRODUCT,'7684061331504,title,zh-CN,,,圓口湯盤(強化瓷) Soup Plate,圆口汤盘(强化瓷) Soup Plate
PRODUCT,'7684061331504,body_html,vi,,,"<p>Durable tempered ceramic soup plates with rounded edges, suitable for everyday use.</p>","<p> Đĩa đựng súp bằng gốm sứ chịu nhiệt bền bỉ với các cạnh bo tròn, thích hợp sử dụng hàng ngày.</p>"
PRODUCT,'7684061331504,body_html,zh-CN,,,"<p>Durable tempered ceramic soup plates with rounded edges, suitable for everyday use.</p>",<p>耐用的钢化陶瓷汤盘，边缘圆润，适合日常使用。</p>
PRODUCT,'7684061331504,handle,vi,,,soup-plate-tempered,
PRODUCT,'7684061331504,handle,zh-CN,,,soup-plate-tempered,
PRODUCT,'7684061331504,product_type,vi,,,Tableware,Đồ dùng trên bàn ăn
PRODUCT,'7684061331504,product_type,zh-CN,,,Tableware,餐具
PRODUCT,'7684061757488,title,vi,,,Porcelain Soup Pot with Lid – Classic White,Nồi súp sứ có nắp – Trắng cổ điển
PRODUCT,'7684061757488,title,zh-CN,,,Porcelain Soup Pot with Lid – Classic White,耐用白色陶瓷汤锅
PRODUCT,'7684061757488,body_html,vi,,,"<p data-start=""115"" data-end=""385"">Crafted for elegance and utility, this <strong data-start=""154"" data-end=""176"">Porcelain Soup Pot</strong> is perfect for serving hot broths, herbal soups, stews, and nourishing tonics. Featuring a fitted lid and wide, shallow base, this pot preserves heat while allowing for easy scooping and serving at the table.</p>
<p data-start=""387"" data-end=""400""><strong data-start=""387"" data-end=""400"">Features:</strong></p>
<ul data-start=""402"" data-end=""955"">
<li data-start=""402"" data-end=""491"">
<p data-start=""404"" data-end=""491""><strong data-start=""404"" data-end=""416"">Material</strong>: High-quality white porcelain – heat-retentive and resistant to cracking</p>
</li>
<li data-start=""492"" data-end=""574"">
<p data-start=""494"" data-end=""574""><strong data-start=""494"" data-end=""504"">Design</strong>: Classic domed lid for optimal heat insulation and flavor retention</p>
</li>
<li data-start=""575"" data-end=""665"">
<p data-start=""577"" data-end=""665""><strong data-start=""577"" data-end=""589"">Capacity</strong>: Ideal for 2–4 servings – suitable for family-style soups or shared meals</p>
</li>
<li data-start=""666"" data-end=""738"">
<p data-start=""668"" data-end=""738""><strong data-start=""668"" data-end=""678"">Finish</strong>: Smooth glazed surface for easy cleaning and hygienic use</p>
</li>
<li data-start=""739"" data-end=""776"">
<p data-start=""741"" data-end=""776""><strong data-start=""741"" data-end=""774"">Microwave and dishwasher safe</strong></p>
</li>
<li data-start=""777"" data-end=""875"">
<p data-start=""779"" data-end=""875""><strong data-start=""779"" data-end=""786"">Use</strong>: Great for Chinese herbal soups, Cantonese double-boiled soups, or Western-style stews</p>
</li>
<li data-start=""876"" data-end=""955"">
<p data-start=""878"" data-end=""955""><strong data-start=""878"" data-end=""891"">Aesthetic</strong>: Minimalist look fits both home dining and restaurant service</p>
</li>
</ul>
<p data-start=""957"" data-end=""1104"" data-is-last-node="""" data-is-only-node="""">Whether you're presenting a hearty winter stew or a delicate medicinal broth, this soup pot balances tradition and functionality in a refined form.</p>","<p data-start=""115"" data-end=""385"">Được chế tác tinh tế và tiện dụng, <strong data-start=""154"" data-end=""176"">nồi súp sứ</strong> này hoàn hảo để đựng nước dùng nóng, súp thảo mộc, món hầm và các loại nước bổ dưỡng. Với nắp đậy kín và đáy rộng, nông, nồi giữ nhiệt tốt, đồng thời dễ dàng múc và phục vụ tại bàn.</p>

<p data-start=""387"" data-end=""400""> <strong data-start=""387"" data-end=""400"">Đặc trưng:</strong> </p>

<ul data-start=""402"" data-end=""955"">

<li data-start=""402"" data-end=""491"">

<p data-start=""404"" data-end=""491""> <strong data-start=""404"" data-end=""416"">Chất liệu</strong> : Sứ trắng cao cấp – giữ nhiệt tốt, chống nứt vỡ </p>


</li>

<li data-start=""492"" data-end=""574"">

<p data-start=""494"" data-end=""574""> <strong data-start=""494"" data-end=""504"">Thiết kế</strong> : Nắp vòm cổ điển giúp cách nhiệt và giữ hương vị tối ưu </p>


</li>

<li data-start=""575"" data-end=""665"">

<p data-start=""577"" data-end=""665""> <strong data-start=""577"" data-end=""589"">Sức chứa</strong> : Lý tưởng cho 2–4 phần ăn – thích hợp cho các món súp kiểu gia đình hoặc các bữa ăn chung </p>


</li>

<li data-start=""666"" data-end=""738"">

<p data-start=""668"" data-end=""738""> <strong data-start=""668"" data-end=""678"">Hoàn thiện</strong> : Bề mặt tráng men mịn để dễ dàng vệ sinh và sử dụng hợp vệ sinh </p>


</li>

<li data-start=""739"" data-end=""776"">

<p data-start=""741"" data-end=""776""> <strong data-start=""741"" data-end=""774"">An toàn với lò vi sóng và máy rửa chén</strong></p>


</li>

<li data-start=""777"" data-end=""875"">

 <p data-start=""779"" data-end=""875""><strong data-start=""779"" data-end=""786"">Công dụng</strong> : Thích hợp cho các món súp thảo mộc Trung Quốc, súp luộc Quảng Đông hoặc món hầm kiểu phương Tây </p>


</li>

<li data-start=""876"" data-end=""955"">

<p data-start=""878"" data-end=""955""> <strong data-start=""878"" data-end=""891"">Tính thẩm mỹ</strong> : Phong cách tối giản phù hợp với cả dịch vụ ăn uống tại nhà và nhà hàng </p>


</li>


</ul>

<p data-start=""957"" data-end=""1104"" data-is-last-node="""" data-is-only-node=""""> Cho dù bạn đang nấu món hầm mùa đông thịnh soạn hay nước dùng thuốc thanh nhẹ, nồi súp này cân bằng giữa truyền thống và chức năng theo một hình thức tinh tế.</p>"
